,answer,keywords
242,8,number Hanukkah Jewish day musical leg ireland Noah bible sign math Total stop festival Freshmen Preps Irish Ford Beatles Dick Patten Passover Bradford string mandolin oar game gill minivan side standard hour digit justice time work Supreme Christmas people single
583,9,number beethoven court supreme Total day American square John symphony music novena prayer year jane inning salem kennedy Lady Mahler century complete witch cloud nickname wrote size devotion stabilized game baseball star flag multiply people feline happiness hole March Congress
3983,90,Number degree angle math acre measure bought class Lucille Divide problem Thompson North Rickey Henderson one-half woman sport school oldest earned kwon black belt opposite hypotenuse estate left mathematics radioactive isotope strontium atomic fallout found dreaded minute hand move obtuse
4267,911,number dial emergency Public Enemy phone Porsche joke prime Jan. July Nanny Massachusetts call model song text York City Sweden Carrera Britain announced equivalent nationwide standard history wheel quickly popular title group complained hear noise chest musical communication introduced service
1652,a,letter piano perfect Fish-liver Americans Duke Ellington Stress Musical vitamin science carrot vowel type roman tuned cycle middle initial important source required vertebrate bloodtype train prefix single psychology management program personality identified carotene supply key corresponds math instrument note common
2505,a balloon,Montgolfier October Louis French Bros Pilatre Rozier Alan Shepard Malcolm Ross Leon Gambetta Paris aloft chair Verne back Term Weeks animal graphic mile woolly Jules made foot art circle encloses comic strip character dialogue aviation transportation papermakers profession paper early
1090,a bat,mammal flying animal specie Chiroptera type fruit call order Bacardi native Blind micronesia fledermaus simile table tennis zoology flight largest named hanging club cricket wingspan creature wing bumblebee logo endangered Asian Join Hawaii William Collins Evening Kitti Tempest Shakespeare Amazon
2109,a bear,animal virginia black carnivore Bern Callisto west brown cave switzerland called fuzzy spectacled type include selling word honey city seal flag cub Bond Varieties Lucerne Ursa Major American Shades Davy Crockett Winter Tale Exit Chiscau Romania Florida Corduroy Orso Italian
4878,a bee,hittite spelling make quilt sound letter competition Muhammad Yellow-banded Scripps Apis Entomological insect homophone gathering nature minimum inch flower pollinated hodgepodge myth find missing sort game hive seek beastly expression eccentric bonnet buggin smallest type trigona long stingless alphabet mentioned
2805,a beetle,insect type yeah animal Scarab click June Egypt Coleoptera Wedding Preparations Country Raban Goliath world dung specie life african kingdom related ancient tumblebug deposit egg order kafka turn prey bombardier family Hercules South Scarabaeidae Named Darth Agathidium Dutch Wireworms thing
4577,a bell,object Major Wall word shaped Pavlov John Hersey Victor Joppolo Italian Adano Send Hanging Emmanuel French Street sounded ballet time inside noisemaker sport musical weighing ton close trading trivia begin boxer salivating science statistic normal distribution experiment produce curve obtains
2150,a bicycle,John part speed Kirkpatrick Howard helsinki Front drive arrangement song film built transportation vehicle pedal Early Object Italian Charles Daisy Vittorio Sica Antonio City Youth Hostel Frame Macmillan Dunlop Olympian Life Elliott Saddle Uber Eats wheel classic smallest riding derailleur
1828,a bird,bird fish mammal type creature bermuda animal snake monkey Arabian Nights Constantin Brancusi Simple Simon Fledgling French Evidence Archaeopteryx Twitter Fågel jungle martin titmouse killdeer spot myth legend oxpecker ride back giraffe odds end indigo bunting flag artist subject noted
2954,a black hole,John object Wheeler Cygnus event singularity star galaxy roger astronomy center science collapse Russians horizon blue supergiant Theoretically Andromeda Penrose Stephen Hawking Michell Archibald Karl Schwarzschild Sagittarius Crunch gravitational universe named black escape hole light trap unseen powerful late larger
4727,a buffalo,North Dakota animal Jamestown Africa Cape Kansas west type bovine coin Cody European Congo Southern Wyoming Oklahoma William Native George Catlin Assiniboine Pursuing Snowshoes statue flag Indian science kind length foot reverse leg boast appeared circulating called wisent lighter mammal
1882,a bull,animal Iowa Crete Minotaur Ferdinand luther short workday sitting gain fame national largest statue record circus male dangerous mythology love Toro Filius Boniface Lynch Audubon Zeus Europa Rock Chicago Arena Hungary Egri Bikaver Eger Cody Hancock Hercules Dirce Palace Martin
2832,a butterfly,insect Alexandra Queen Birdwing type wingspan state hairstreak Colorado world largest Swallowtail named beautiful foot purple wing blue pygmy inch Admiral Schaus Emma Livry Papillon Baltimore Checkerspot Maryland Gore Palm Beach California Microsoft Network Peking York Papua Guinea Latin early
2204,a camel,animal desert kingdom God rich enter mammal needle easier drink gallon ship humped milk chess biblical creature beast Diego Guinness Bedouin Africa Asian Jesus Pharisees Blind Philadelphia Swahili Sahara Bactrian Deuteronomy Matthew Mark John Baptist Petra Abraham Isaac Echoing Sand
3446,a cardinal,bird jules Mazarin Roman Urban VIII Catholic Pope state raised archbishop Rodrigo office fish ecclesiastic family high church named bright robe clergyman color march purple Musial February Cooke Chicago Francis George Germany Joseph Ratzinger Mahony Terence Ohio Kentucky April August
1289,a cat,animal Egyptians pet type ancient sacred Persian Bast Devon white hunt book Beverly Cleary Socks Oscar breed ballet chat leap movement fish bird hoffmann house brown mammal cliche orange eye popular resembles pigeon stir trouble fact goddess head painting blue
3843,a chihuahua,Toltecs Bell breed Taco small Mexican nose world tiny state canine inch ave descends century techichi prized ancestor spokesdog guinness record length living tail pitchy wheeze short madison pound fennec Sadly Gigi Bruiser Legally Blonde Tequila Hoek Stimpson menagerie purse
1258,a chorus line,broadway musical Hope April show Donna song Love opening Cassie Michael Bennett Priscilla Carole Bishop Sammy Williams Ballet SHUN dancer theater Mirror cast original group McKechnie Kiss audition number Marvin Hamlisch Pulitzer singular sensation today goodbye step performance spot kicked
1226,a christmas carol,Dickens Marley line dead book Christmas Jacob Tiny Scrooge Cratchit begin classic bless holiday opera story December character film angel ghost observed work doubt literature version tale based starred inspired ballet Fezziwig Patrick Stewart Thea Musgrave Ebenezer Mouse Goofy Comin
1770,a clockwork orange,Burgess Anthony Alex Kubrick dystopian Nadsat book English Russian narrator film Ultra-violence Stanley Beethoven droogs combination colorful banned young british slang literature brought screen orange glad punk interest wrote Malcolm CREW CARNAL Korova Milk Nasty Manchester Cockney Pete Georgie week
1079,a comet,Earth NASA space Stardust astronomy body Maria Mitchell celestial Wild million meteor Halley probe Jan. Jupiter July mile tail November Deep Impact Perseid woman century Encke Greek Rosetta orbit science traveler spacecraft Philae shower famous horace dust named nucleus universe
4245,a compass,point device sharp circle type pencil bowl instrument magnetic Knight water Aircraft Middle Ages Gowin Chinese Huang-ti general science putting north end floating cork iphone tool similar needle Dividers development gyro unaffected local field center swing mapmakers started map draw
2641,a connecticut yankee in king arthur's court,Twain Mark Camelot Chapter Merlin Morgan Hank literature Bing Bridgeport Connecticut Crosby Englander Errantry Trade knight time book remember wake line begin hearing yankee american head back bicycle century lady pseudo text transferred horse satirizing chivalry hero entitled narrator mistake
3432,a cow,animal Jack jersey bovine female grew bean beanstalk Wayne Kremlinville moose kiddie jumped proverb William Howard Taft White Pauline Bart Simpson Ballad Thin Give bull fell section breed made love farm creature magic traded named Milky-White exchange rhyme measly candelstick
4513,a crab,crustacean spider foot type specie measure Catch June claw Japanese Jonah Cancroid Deadliest soft-shell grab blue robber shellfish snow life bivalve birthday variety backwards fiddler roof clomping grouch serving symbol zodiac sign marine biology largest sushi roll seafood tonight recommend
1457,a diamond,Arkansas Twinkle Mohs Victoria gem Star called bort ballas good shape rough ring baseball Smithson Issued Visitors found natural form hard carbonado jewel quality commemorate Princess Beers Jahan Ranjit Queen Tennant Jubilee Pink Panther Proverbially America science substance highest hardness
1503,a dog,animal brussels Type York Rabbit fashion potpourri shar-pei robot fight mayor Sputnik Bouvier Flandres Fair Elektro Sparko Forgea Mark Twin Germans Vietnamese Hash Kentucky Goofy size World dyslexic agnostic history technology ending tugboat day contest novella accessory friend space saluki
3872,a dove,bird Paloma Columbine Picasso Jesus animal peace Spirit Rock adjective Mark Holy daughter named bible mourning gray line Calling Cuban Missile Crisis Benjamin Moore Spanish John european artist depicted poster promoting world español noms plume story feather turtle political favor
2351,a dragon,mythical creature beast George beowulf norse Margaret Cadmus Siegfried Fafner Eragon flag teeth mythology sowed saint called myth opera giant slays lizard Legend Armies Jason Welsh Ring Moscow Bhutan Nidhogg Komodo Hesperides Durza Greek Chinese Mulan Mushu Types year wounded
5082,a duck,bird North America animal fowl teal small stuffed inside homard canard woman Australia Dijon Monty Python Holy Grail Aflac Russia Rick Dees Peacock Arkansas Found Thanksgiving year edible turkey maned goose operates alias daffy creature rhyme ship a-sailing sailor white
1728,a fish,bird mammal fish Minn Madison creature Greek Christ Oprah roadside animal symbol Describing piscine Ichthys jonah america wahoo word phrase drink mouth cichlid avatar half sticker Fomalhaut Austrinus Arabic Jesus Savior Matsya Vishnu Discovered Part Christianity replica swamp specie resembles
2207,a fox,Reynard animal Aesop arctic fable Luke Jesus Herod Vulpes Iceland grape mammal creature biblical epic medieval vixen native type crafty simile reach sour wolf canine King Stork Crow Book Goethe Reineke Proverbially Samson Isengrim Chaucer Priest good-lookin caught gang sportsman
3775,a frog,Macbeth amphibian Basho Grenouille Guinea zoology animal witch time Genus Rana Calaveras County Beelzebufo Jeremy Fisher Beatrix Potter Luigi Galvani world venom brew toad creature pond leg risk outjump famous haiku golden kill italian frequent victim class dissection potent secreted
2485,a giraffe,foot animal tall mammal African neck height stand pound birth adult Niger June world family member ruminant Made Geoffrey Toys Zheng China Camelopardalis Fittingly Dallas Newborns April nature heart exceed length bone full carving leg horn record million online pregnancy
4920,a glacier,alaska mile long geology Ranier Antarctic Italy Iceland Vatnajokull forest europe Glace Alps Carbon Till Lambert Rhode French Calderone Mount Corno Watch Mendenhall Tongass National earth material rock formation type fast washington state moraine left geographic term defined dragged move
3102,a goat,animal leather Morocco farm made Capra sheep milk type proverb beard world horned hairy italian symbol cheese human satyr soup Barbary Famous Hirsute Aunt Nancy Angora Turkey Capricorn Believed Jamaica specie physically resemble appearance preach handcraft kind traditionally closely related
3576,a goose,bird Christmas duck Hawaiian silly nene Snow Mother beastly animal longer l'oie state Canada Carol Cratchit Aesop Weighing Toulouse Michaelmas Anserine upwards pound metal-tipped standard instrument expression meaning relaxed originally promiscuous word phrase timid egg kind fowl web-footed swimming neck
5088,a groundhog,February Feb. North woodchuck Shadow marmot animal whistle holiday observance heart rate Book Knowledge America Britannica Scientifically rodent wood ground squirrel mammal hibernation basically week decrease minute slows seeker commonly early begin end familiar eastern letter happen giant control monax
3481,a guitar,Andres Segovia instrument woody neck string classical Duane Eddy Chuck Berry Eric Clapton Jose Feliciano Charlie Christian Jazzman Bucky Pizzarelli Ibanez Gibson Fascists Satisfaction Fender Telecaster Martin Mantiques Bridge bass-ics bass octave lowest maple pickguard played hand living tool trade
4017,a hammer,tool Communism moon patron saint August middle handle ball-peen type malleus museum word John Henry Frankish Charles Martel Schlegerbund Swabian Thor Claw Eligius Latin Dave Scott Galileo Alaska american working test folklore died age group knight event object thrown carpenter
4545,a harp,instrument musical Irish string guinness grand type concert pedal attached Traditionally South Lyon Healy Lowell Lieberman Valse Arnold Saxon record fingertip cost measure foot sonata label oldest arm class plucked nail harmonica orchestra gold tall chamber flute popular wedding show
4702,a hat,chapeau Piece Europeans Gertrude worn clothing wear slang cossack item foot ring fedora homburg derby definition cockade vocabulary quaint charming leghorn tied white satin bows confused entering remove heck shako stiff cylindrical soldier breakfast term straw farmer fashion statement praise
4186,a heart,shaped clark Dec. Louis Barney romantic love Garden Eden Apple Suite Caesars Pocono Palace Perfect Valentine Fiorucci Washkansky make organ artificial Haydon proverb specializes arrow century double heavy purse light cheesecake room bath scent bottle pierced foreigner received transplant worldwide
2403,a helicopter,type aircraft rotor transportation Airwolf Vietnam hour tail main Flying non-stop transcontinental flight korean April Hellfire Huey Paul Greek Trevor Osprey Bell carry vehicle word Florida Stringfellow Hawke Apache Medevac Cornu Westland Lynx Egginton Master aviation pioneer Frenchmen Engineering Black
1025,a horse,animal horse Odin Morgan Sleipnir Flora type named post office british broke narnia Work mythology called year knight title critter proverb gift chronicle Europe Reportedly Friend Phar Muybridge Chestnut Girls Jeeps Civil Justin Department Dapple Gray Przewalski William Richmond Park
2931,a hummingbird,bird wing type time smallest ruby-throated beat giant rate inch long wing-beat weighs hover animal variety fast specie male ounce desert flower logo Trochilidae Calliphlox Cuba California Vervain Papyrus Portuguese mode imposing speed kisser ostrich largest egg flight figure-eight movement
3677,a hurricane,Oct. Causing Texas Central America Iniki September Michael people clocked rock cocktail belize Beaufort Fran Galveston Island Martinique University Florida City Cleo Mitch Fish London Puerto Cortes Honduras storm disaster damage named wind weight natural killed coast billion southeastern splash
3966,a jellyfish,foot Marine animal medusa creature invertebrate people tentacle type Nobelist lion Scyphozoa Osamu Shimomura Hampshire National Ocean Service biology water group smack wasp venomous largest bell-shaped world kill scientist summer extend bell made watermelon jellyfish infant human weight highest percentage
4224,a jury,Robert Frost twelve group Court people person chosen decide lawyer Scottish Amendment Supreme Ring Arizona Reginald Angry Connecticut member word lawsuit question penalty phrase good describing grand petit hung scotland decision unanimous majority constitution preserve panel list school today agreed
3160,a kangaroo,marsupial Australia type animal mammal Hopper Matilda tail eastern gray Sylvester Skippy South Wales Long-tailed Boomer Mrs. Pleistocene Epoch Pocket Books Simon Aussie Lord joey thump foot meat lawsuit attacked inch procoptodon jumped weigh pound kick rodent jerboa tiny quote
4329,a kiwi,Zealand bird fruit flightless national Chinese Native yangtze maori gooseberry named feather animal Stewart Wellington small solitary locate food share internal rhyme symbol doodle river valley brown covered fuzz find tuis pipit kakas vegetable fuzz-free baby type grape ceremonial cloak
4746,a knight,chess piece Queen Elizabeth Alanna Adventure medieval soldier bono Irish girl King Arthur Horse-headed Singer Gladys Hoops Recipients coach train honorary rank round-tabled fiery college basketball nut jump europe mounted warrior serve page squire rhyme paladin category made call back
4537,a laser,device Theodore Maiman Nobel American beam Prize light physical science blue built light-amplifying Steven January Gillette Intl technology metal tattoo white Laureate Ahmed Zewail Gallium Police X-ray Charles Townes Year Kittyo chemistry slow-pourri measure set study reaction arsenic semiconductor type
4324,a league of their own,Madonna baseball film Playground movie pullman chart Alas Women Jimmy World Penny Marshall gal played cry bill blurb crowd quote credit pro casey return wife first-rate athlete bust considered flashing ballpark topped track sung haiku call beat coach Mordabito Geena
4431,a leopard,panther Asia Jeremiah feline called animal Southeast black originally African mammal 13:23 named variety version zoology cheetah king bible beast spot clouded type large specie snow team Found California Woodland Park Seattle Echoing School Deaf walk foot band platinum coat
1529,a lion,animal title Sleeping Rousseau Gypsy Lanka Egyptian Samson Narnia flag beast Book tarzan hercules featured type biblical body sculpture head holding mouse saved proverb majestic quote menagerie night jungle labor sword Chronicles Peugeot Panthera Peter Greek Sphinxes Dream Norway Britain
2972,a man for all seasons,Thomas Bolt Robert Paul Scofield drama play Henry VIII Oscar Cromwell film Vivat character historical picture Scene Bloke theatre year-round king title Chelsea American Elizabeth Regina Catherine Aragon Erasmus English Alice Lord Chancellor Queen Anne Winter acclaimed day movie starred
290,a midsummer night's dream,shakespeare play Puck Hippolyta Comedy queen bottom Fairy Oberon Hermia Theseus Lord ballet Dream Lysander line Love Helena Cobweb Mendelssohn fool Robin based inspired Demetrius Mickey Rooney opera mortal Give Amazons Moth Mustardseed Athens Titania fight balanchine wedding Pyramus Thisbe
4275,a mirror,year soul luck Hilton Shuttle France vampire Break mounted object Common China Seelbach Oculus Cheval Popular Leonardo Vinci glass superstitious ghost science supposedly til launch brings psyche light household designed specifically produce lateral inversion image antique ancient classical accessory polished
4435,a mole,chemistry animal insectivore unit small skin sextillion Cindy Crawford Western Col. Oleg Penkovsky USSR Zokor Asia type mammal underground substance equal weight science eye hidden body molecule raised area brown pigment cricket life named tiny-eyed measure amount distinctive characteristic learn
3669,a monkey,animal Tibetan mammal primate long back type evil early inch weighing ounce spider legend people originated union female demon pygmy marmoset smallest word rhesus including Proverbially South America Abyssinian Zephir Babar Marcel friend Capuchin calendar emoji tropical forest dweller chinese
